NO_IWCS|NM_PREFERRED|NO_ACCOUNT|INSTALLEDPROPERTYNUMBER|METERREF|MANUFACTURER_PK|MANUFACTURERSERIALNUM_PK
15202010201|ALSTOM POWER LIMITED|461004547|225002108|316002015|KENTMETERS|02010198
15202010901|ARRIVA MIDLANDS LIMITED|184007386|152025718|779003046|SCHLUMBERGER|09099170
15202010902|ARRIVA MIDLANDS LIMITED|184007386|152025718|779003046|SCHLUMBERGER|09099170
15202011401|HOPE CONSTRUCTION MATERIALS LTD|261006590|303004860|849002972|SCHLUMBERGER|11BU088366
15212000601|MINISTRY OF JUSTICE|349006393|225002551|327004595|SCHLUMBERGER|16JE029250A
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|137002006|613006026|KENTMETERS|98118128A
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|137002006|305023245|ACTARIS|16MA087043
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|137002006|185002451|KENTMETERS|97088121
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|137002006|341002185|KENTMETERS|00008194
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|137002006|341002186|KENTMETERS|99812277
15555000802|TENNANTS FINE CHEMICALS LIMITED|884002006|137002006|752004694|SCHLUMBERGER|16XH028075
15555004401|COTTAGE DELIGHT LTD|731002168|743002018|849002007|KENTMETERS|00040303
15555004801|PARKWOOD COMMUNITY LEISURE|589008279|881002160|322014241|ACTARIS|16JE029298
15555005001|ESTERCHEM LTD|638002123|703021529|944004017|UNKNOWN|15BU026697
15555005301|SAINSBURYS SUPERMARKET LTD|991010231|406002188|927004818|ACTARIS|12JB041691
10702090901|BESPOKE KITCHENS FOODS LTD|893021584|384002478|953008528|ACTARIS|06HB011870
14211003101|SPECTRUM YARNS LIMITED|600003901|842002131|688007457|ACTARIS|16JC023820
10602001200|FISHER SCIENTIFIC (UK) LTD (FAO ACCOUNTS DEPT BAKEWELL RD)|556002013|599002154|237002006|SCHLUMBERGER|02021262
09025042602|GLASSOLUTIONS SAINT-GOBAIN LTD|486007182|771002225|922002973|SCHLUMBERGER|09229891.
03003018101|MIDLAND PLATING LTD|320002607|698002787|855002499|SCHLUMBERGER|15JE119759
05294069803|LONDON and BHAM RAILWAY LTD|469006822|150002086|299002733|KENTMETERS|08QE00619
10602001200|FISHER SCIENTIFIC (UK) LTD (FAO ACCOUNTS DEPT BAKEWELL RD)|556002013|599002154|887002187|KENTMETERS|84229395
03079005103|A F BLAKEMORE and SONS LTD|641002243|270002002|526011925|SCHLUMBERGER|02162680
06354416701|SAMUEL TAYLOR LTD|777002107|596002363|360005242|SCHLUMBERGER|05810306
10705000901|MOTO HOSPITALITY LTD|821007123|818002278|503003544|SCHLUMBERGER|10040940.
15555005301|SAINSBURYS SUPERMARKET LTD|991010231|406002186|313003086|SCHLUMBERGER|12BU087183
09025023301|COVRAD HEAT TRANSFER LTD|592003576|535002149|961009701|SCHLUMBERGER|16XH028103
